species combination	targets
mouse, human, yeast, worm, fly	1
mouse, human, yeast, worm, rat	0
mouse, human, yeast, fly, worm	1
mouse, human, yeast, fly, rat	2
mouse, human, yeast, rat, worm	0
mouse, human, yeast, rat, fly	2
mouse, worm, human, fly, rat	3
mouse, worm, human, fly, yeast	1
mouse, worm, human, rat, fly	3
mouse, worm, human, rat, yeast	0
mouse, worm, human, yeast, fly	1
mouse, worm, human, yeast, rat	0
mouse, worm, fly, human, rat	3
mouse, worm, fly, human, yeast	1
mouse, worm, fly, rat, human	3
mouse, worm, fly, rat, yeast	0
mouse, worm, fly, yeast, human	1
